Product Name,Product_type,Product Locality,Product Rating,Price,Name
Udta Punjab,"Budget Eats
                                    Cost for two: ₹400","Sector 11, Rohini, New Delhi.",4.9,11 visits,₹35 ₹55 ₹75 ₹130 ₹150 ₹170 ₹180 ₹180 ₹190 ₹240 ₹240 ₹250 ₹270 ₹290 ₹330 ₹170 ₹180 ₹180 ₹200 ₹220 ₹220 ₹250 ₹250 ₹170 ₹170 ₹200 ₹120 ₹120 ₹120 ₹120 ₹140 ₹140 ₹150 ₹150 ₹150 ₹150 ₹150 ₹150 ₹170 ₹170 ₹170 ₹170 ₹400 ₹220 ₹240 ₹270 ₹280 ₹280 ₹330 ₹330 ₹330 ₹350 ₹350 ₹380 ₹180 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹270 ₹290 ₹510 ₹300 ₹350 ₹400 ₹470 ₹180 ₹180 ₹190 ₹190 ₹210 ₹210 ₹230 ₹230 ₹240 ₹250 ₹270 ₹270 ₹270 ₹270 ₹270 ₹290 ₹290 ₹290 ₹290 ₹290 ₹310 ₹310 ₹310 ₹310 ₹330 ₹330 ₹150 ₹150 ₹150 ₹170 ₹170 ₹180 ₹180 ₹12 ₹15 ₹15 ₹35 ₹45 ₹45 ₹45 ₹45 ₹55 ₹55 ₹59 ₹70 ₹75 ₹80 ₹110 ₹130 ₹240 ₹270 ₹270 ₹270 ₹270 ₹290 ₹310 ₹310 ₹200 ₹220 ₹240 ₹270 ₹270 ₹130 ₹140 ₹150 ₹150 ₹160 ₹160 ₹180 ₹200 ₹210 ₹170 ₹240 ₹220 ₹240 ₹240 ₹240 ₹280 ₹280 ₹280 ₹140 ₹200 ₹220 ₹220 ₹120 ₹120 ₹120 ₹140 ₹150 ₹150 ₹150 ₹170 ₹200 ₹220 ₹220 ₹240 ₹270 ₹150 ₹170 ₹180 ₹180 ₹220 ₹240 ₹100 ₹55 ₹200,
Momo Junction,"Delivery Only
                                    Cost for two: ₹500","Uttam Nagar, New Delhi.",3.7,13 visits,₹129 ₹152 ₹180 ₹210 ₹214 ₹214 ₹214 ₹219 ₹219 ₹224 ₹224 ₹224 ₹224 ₹229 ₹229 ₹229 ₹236 ₹237 ₹238 ₹240 ₹243 ₹248 ₹248 ₹248 ₹252 ₹170 ₹237 ₹180 ₹305 ₹229 ₹214 ₹224 ₹219 ₹219 ₹210 ₹229 ₹224 ₹224 ₹229 ₹15 ₹21 ₹94 ₹100 ₹152 ₹85 ₹85 ₹240 ₹243 ₹238 ₹236 ₹248 ₹252 ₹224 ₹237 ₹252 ₹86 ₹86 ₹86 ₹86 ₹123 ₹129 ₹124 ₹324 ₹248 ₹371 ₹410 ₹329 ₹305 ₹324 ₹248 ₹333 ₹329 ₹405 ₹362 ₹267 ₹400 ₹281 ₹324 ₹343 ₹324 ₹343 ₹357 ₹238 ₹276 ₹281 ₹271 ₹281 ₹214 ₹276 ₹281 ₹214 ₹281 ₹285 ₹271 ₹290 ₹300 ₹300 ₹300 ₹300 ₹300 ₹276 ₹276 ₹161 ₹161 ₹161 ₹105 ₹142 ₹123 ₹123 ₹233 ₹243 ₹267 ₹276 ₹142 ₹161 ₹180,Butter Egg Bhurji Oreo Shake Normal Thali Tawa Neutry+4Butter Roti Kadhai Chaap+4Butter Roti Egg Curry 2pcs+ 4 Tawa Roti Egg Bhuji + 4 Tawa Roti Chaap Butter Masala+4Butter Roti Paneer Lababedar+4Butter Roti Matar Paneer+4Butter Roti Dal Makhni Spl+4Butter Roti Chana Masala+4Butter Roti Matar Paneer Gravy Tawa Chaap+4Butter Roti Shahi Paneer+4Butter Roti Paneer Butter Masala +4Butter Roti Paneer Makhni Matar Paneer Butter Masala Paneer Lababedar Shahi Paneer Kadhai Paneer Spl Kadhai Paneer Butter Masala Mutton Seekh Kabab (Dry) Chicken Seekh Kabab(Dry) Paneer Lababedar Butter Masala Mini Thali Shahi Thali Normal Thali Deluxe Thali Tawa Chaap+4Butter Roti Kadhai Chaap+4Butter Roti Matar Paneer+4Butter Roti Chaap Butter Masala+4Butter Roti Paneer Lababedar+4Butter Roti Tawa Neutry+4Butter Roti Shahi Paneer+4Butter Roti Dal Makhni Spl+4Butter Roti Chana Masala+4Butter Roti Paneer Butter Masala +4Butter Roti Tawa Roti Tawa Roti Butter Aloo Prantha Aloo Pyaz Prantha Oreo Shake Masala Jeera Soda Masala Lemon Pani Shahi Paneer Kadhai Paneer Spl Paneer Lababedar Paneer Makhni Kadhai Paneer Butter Masala Paneer Lababedar Butter Masala Matar Paneer Gravy Matar Paneer Butter Masala Paneer Makhni Butter Masala Tomato Soup 🍲 Manchow Soup 🍲 Sweet Corn Soup 🍲 Mix Veg Soup 🍲 Egg Bhurji Delight Butter Egg Bhurji Butter Bread Omelette Butter Masala Chicken Seekh Kabab Mutton Seekh Kabab (Dry) Butter Chicken 🐔 Butter Chicken Boneless Tawa Chicken Kabab Gravy Chicken Seekh Kabab Creamy Butter Masala Mutton Kabab Chicken Seekh Kabab(Dry) Tawa Mutton Kabab Gravy Tawa Chicken Kabab Gravy Kadhai Chicken Chicken Changezi Spl Mutton Seekh Kabab Creamy Tawa Chicken Special Chicken Fry 🐔 Chicken Fry In Creamy&Butter Dahi Chicken 🐔 Lemon Chicken Kali Mirch Chicken Mutton Seekh Kabab + 4 Roti Butter Chicken + 4 Roti Tawa Chicken Kabab + 4 Roti Kadhai Chicken + 4 Roti Chicken Changezi + 4 Roti Egg Curry 2pcs+ 4 Tawa Roti Butter Mutton Kabab + 4 Tawa Roti Butter Masala Chicken Kabab + 4 Roti Egg Bhuji + 4 Tawa Roti Lemon Chicken + 4 Tawa Roti Kali Mirch Chicken +4 Tawa Roti Dahi Chicken + 4 Tawa Roti Tawa Mutton Kabab +4 Tawa Roti Butter Chicken Boneless + 4 Tawa Roti Butter Masala Chicken Seekh +4 Tawa Roti Butter Masala Mutton Seekh +4Tawa Roti Butter Masala Tawa Chicken + 4Tawa Roti Butter Masala Kadhai Chicken+4 Tawa Roti Tawa Chicken + 4 Tawa Roti Chicken Seekh Kabab + 4 Tawa Roti Malai Chaap Gravy With 2 Rumali Roti Afgani Chaap Gravy With 2 Rumali Roti Tandoori Chaap Gravy With 2 Rumali Roti Plain Maggi Paneer Masala Maggi Double Masala Maggi Butter Maggi Dal Makhni Dal Makhni With Rice Matar Paneer With Rice Chana Masala Shahi Punjabi Lassi Fully Loaded Lassi Dry Fruit Lassi
Pizza Buddy By Soda Junction,"Budget Eats
                                    Cost for two: ₹400","Naraina, New Delhi.",3.4,24 visits,₹59 ₹69 ₹140 ₹70 ₹80 ₹60 ₹80 ₹80 ₹89 ₹90 ₹90 ₹90 ₹90 ₹100 ₹109 ₹120 ₹90 ₹109 ₹85 ₹85 ₹85 ₹85 ₹90 ₹140 ₹70 ₹80 ₹90 ₹90 ₹80 ₹110 ₹150 ₹90 ₹90 ₹100 ₹120 ₹110 ₹80 ₹29 ₹25 ₹79 ₹59 ₹89 ₹69 ₹160 ₹60 ₹80 ₹90,Veg Grilled Sandwich Tandoori Veg Grilled Sandwich Onion Cheese Onion And Corn Cheese Alloo Tikki Onion And Capsicum Cheese Mozzarella Paneer And Onion Masala Fries Paneer And Onion Cheese Corn And Paneer Corn Mozzarella Double Tikki Burger Paneer Mozzarella Vanilla Shake Cheese Fries Chocolate Shake Vanilla Shake Lime Mojito Orange Mojito Blueberry Mojito Strawberry Mojito Plain Mozzarella Onion Cheese Onion And Corn Cheese Paneer And Onion Cheese Corn And Paneer Onion And Capsicum Cheese Paneer And Olive Cheese Special Cheese Pizza Corn Mozzarella Capsicum Mozzarella Paneer Mozzarella Mix Mozzarella Mozzarella Black Olive Mozzarella Paneer And Onion Water Bottle Lassi Paneer Grilled Sandwich Veg Grilled Sandwich Tandoori Paneer Sandwich Tandoori Veg Grilled Sandwich Cheeese Grilled Alloo Tikki Aalloo Paneer Burger Double Tikki Burger
Janakpuri Veg Non Veg Junction,"Delivery Only
                                    Cost for two: ₹200","Dwarka Mor, Najafgarh, New Delhi.",4.1,24 visits,₹223.8095 ₹233.3333 ₹242.8571 ₹242.8571 ₹300 ₹304.7619 ₹338.0952 ₹340.9524 ₹350.4762 ₹352.381 ₹352.381 ₹300 ₹223.8095 ₹233.3333 ₹242.8571 ₹242.8571 ₹242.8571 ₹242.8571 ₹242.8571 ₹242.8571 ₹242.8571 ₹233.3333 ₹242.8571 ₹247.619 ₹18.0952 ₹26.6667 ₹447.619 ₹465.7143 ₹371.4286 ₹370.4762 ₹295.2381 ₹361.9048 ₹328.5714 ₹338.0952 ₹280.9524 ₹361.9048 ₹419.0476 ₹376.1905 ₹409.5238 ₹328.5714 ₹368.5714 ₹366.6667 ₹371.4286 ₹395.2381 ₹352.381 ₹333.3333 ₹338.0952 ₹340 ₹340.9524 ₹261.9048 ₹357.1429 ₹347.619 ₹347.619 ₹350.4762 ₹338.0952 ₹347.619 ₹351.4286 ₹354.2857 ₹354.2857 ₹347.619 ₹246.6667 ₹255.2381 ₹246.6667 ₹136.1905 ₹147.619 ₹180 ₹151.4286 ₹271.4286 ₹271.4286 ₹304.7619 ₹176.1905 ₹170.4762 ₹211.4286 ₹170.4762 ₹113.3333 ₹113.3333 ₹113.3333 ₹113.3333 ₹151.4286 ₹160.9524 ₹164.7619 ₹113.3333 ₹113.3333 ₹276.1905 ₹275.2381 ₹274.2857 ₹278.0952 ₹294.2857 ₹301.9048 ₹278.0952 ₹284.7619 ₹304.7619 ₹314.2857 ₹152.381 ₹177.1429 ₹180.9524,
Hungry Bitess,"Delivery and Takeaway
                                    Cost for two: ₹500","Sector 7, Dwarka, Palam Extn, New Delhi.",4.4,6 visits,₹145 ₹170 ₹194 ₹209 ₹209 ₹209 ₹209 ₹209 ₹300 ₹301 ₹314 ₹314 ₹353 ₹366 ₹432 ₹432 ₹458 ₹432 ₹458 ₹445 ₹327 ₹314 ₹314 ₹314 ₹327 ₹314 ₹314 ₹300 ₹300 ₹300 ₹379 ₹327 ₹406 ₹340 ₹314 ₹219 ₹229 ₹269 ₹279 ₹320 ₹320 ₹320 ₹320 ₹320 ₹320 ₹320 ₹320 ₹320 ₹300 ₹366 ₹366 ₹366 ₹300 ₹389 ₹366 ₹314 ₹209 ₹209 ₹209 ₹209 ₹209 ₹209 ₹209 ₹209 ₹209 ₹209 ₹209 ₹145 ₹170 ₹260 ₹194 ₹170 ₹183 ₹195 ₹195 ₹183 ₹196 ₹195 ₹170 ₹183 ₹287 ₹314 ₹209 ₹195 ₹195 ₹198 ₹186 ₹186 ₹172 ₹186 ₹198 ₹186 ₹186 ₹314 ₹314 ₹314 ₹314 ₹314 ₹300 ₹300 ₹314 ₹314 ₹327 ₹294 ₹320 ₹307 ₹307 ₹320 ₹320 ₹334 ₹361 ₹334 ₹361 ₹419 ₹419 ₹419 ₹393 ₹419 ₹392,Aloo Tikki Burger Crispy Veg Burger Veggie Burger Veg Momos Veg Chilli Garlic Noodles Veg Singapore Noodles Veg Fried Rice Veg Schezwan Fried Rice Veg Manchurian Gravy Chicken Wheat Momos Crispy Honey Chilli Potatoes Crispy Corn Honey Chilly Potato + Coke [ 250 Ml ] Veg White Sauce Pasta Veg Manchurian Gravy Meal Veg Manchurian Gravy Meal Chicken Manchurian Meal Chilly Mushroom Gravy Meal Chilly Chicken [ Gravy ] Meal Drumsticks [ 5pcs] + Coke [ 250 Ml ] Crispy Chilli Baby Corn Chilli Potato Crispy Honey Chilli Potatoes Veg Salt & Pepper Mushroom Salt And Pepper Crispy Corn Veg Spring Roll (8 Pcs) Chowmein Spring Roll [8Pcs] Veg Manchurian Dry Chilli Mushroom Dry Southwest Cheese Spring Roll (8 Pcs) Crispy Honey Chilli Baby Corn Kurkure Southwest Cheese Spring Roll (8 Pcs) Kurkure Veg Spring Roll (8 Pcs) Kurkure Chowmein Spring Roll [8Pcs] Veg Kurkure Momos Veg Kurkure Wheat Momos Chicken Kurkure Momos Chicken Kurkure Wheat Momos Red Sauce Momos Makhani Momos Manchurian Momos Schezwan Sauce Momos Hot Garlic Sauce Momos Kadhai Momos White Sauce Momos Rogan Josh Momos Special Sauce Momos Veg Manchurian Gravy Vegetable In Hot Garlic Sauce Vegetable In Schezwan Sauce Vegetable In Black Bean Sauce Veg Chopsuey Veg Red Thai Curry Veg Green Thai Curry Chilli Mushroom Gravy Veg Noodles Veg Hakka Noodles Veg Butter Pepper Garlic Noodles Veg Chilli Garlic Noodles Veg Singapore Noodles Veg Schezwan Noodles Steamed Rice Veg Fried Rice Veg Schezwan Fried Rice Veg Chilli Garlic Fried Rice Veg Singapore Fried Rice Aloo Tikki Burger Crispy Veg Burger Veg Cheese Melt Burger Veggie Burger Classic Fries Masala Fries Peri - Peri Fries Cheesy Chipotle Fries Lemon Pepper Fries Cheesy Lemon Pepper Fries Cheesy Masala Fries Plain Garlic Bread [2 Pcs ] Cheese Garlic Bread [ 2Pcs ] Cheese Garlic Bread (5 Round Pcs) Supreme Garlic Bread (5 Round Pcs) Cheesy Fries Cheesy Peri - Peri Fries Chipotle Fries Veg Manchow Soup Veg Hot And Sour Soup Veg Sweet Corn Soup Veg Clear Soup With Noodles Veg Lemon Coriander Soup Veg Talumein Soup Veg Tom Yum Soup Cream Of Tomato Soup Cold Coffee Strawberry Shake Chocolate Shake Vanilla Shake Pineapple Shake Veg Momo Burger Veggie Cheese Sandwich Cheese N Corn Sandwich Tandoori Veggie Sandwich Pizza Sandwich Plain Masala Maggi Plain Vegetable Maggi Butter Masala Maggi Plain Double Masala Maggi Butter Double Masala Maggi Butter Vegetable Maggi Plain Cheese Maggi Vegetable Cheese Maggi Plain Chilli Cheese Maggi Vegetable Chilli Cheese Maggi ChickenSteam Momo2Pcs+ChickenTandoori Momo2Pcs+ChickenAchari Momo2Pcs ChickenSteam Momo2Pcs+ChickenKurkure Momo2Pcs+ChickenTandoori Momo2Pcs ChickenKurkure Momo2Pcs+ChickenTandoori Momo2Pcs+ChickenAchai Momo2Pcs Veg Steam Momo 2pcs+Veg Kurkure Momo2pcs+Veg Tandoori Momo2pcs ChickenFried Momo2Pcs+ChickenKurkure Momo2Pcs+ChickenAchari Momo2Pcs Veg Kurkure Momo2Pcs+Veg Tandoori Momo2Pcs+Veg Achari Momos2Pcs
Shriram snackshub,"Quick Bites
                                    Cost for two: ₹450","Dwarka, Sector 18, Dwarka, New Delhi.",3.5,37 visits,₹49 ₹49 ₹69 ₹49 ₹99 ₹79 ₹69 ₹59 ₹39 ₹49 ₹120 ₹169 ₹159 ₹49 ₹89 ₹79 ₹89 ₹50 ₹79 ₹69 ₹49 ₹49 ₹39 ₹49 ₹59 ₹69 ₹59 ₹59 ₹69 ₹99 ₹89 ₹99 ₹99 ₹99 ₹89 ₹89 ₹99 ₹99 ₹49 ₹59 ₹49 ₹49 ₹69 ₹59 ₹69 ₹59 ₹69 ₹69 ₹59 ₹79 ₹99 ₹99 ₹39 ₹49 ₹49 ₹79 ₹79 ₹79 ₹79 ₹39 ₹49,
RFC Pizza point,"Quick Bites
                                    Cost for two: ₹300","Rohini, Pitampura, New Delhi.",4.1,3 visits,₹120 ₹120 ₹120 ₹130 ₹130 ₹130,Jalapeno Olive Double Topping Pizza Corn Capsicum Double Topping Pizza Onion And Capsicum Double Topping Pizza Onion And Paneer Double Topping Pizza Capsicum Paneer Double Topping Pizza Corn Paneer Double Topping Pizza
Phulka Box - Seedha Ghar Se,"Quick Bites
                                    Cost for two: ₹450","Sector 7, Dwarka, Palam Extn, New Delhi.",5.0,1 visits,₹110 ₹225 ₹225 ₹225 ₹225 ₹225 ₹160 ₹160 ₹160 ₹160 ₹140 ₹90 ₹140 ₹110 ₹110 ₹110 ₹90 ₹10 ₹15 ₹80 ₹100 ₹80,Kadi Pakoda Mixed Dal With Aloo Gobi And 4 Roti Rajma With Aloo Gobi And 4 Roti Mixed Dal With Rajma And 4 Roti Mixed Dal With Baingan Ka Bharta And 4 Roti Mixed Dal With White Chana And 4 Roti Mix Dal With Rice Kadhi Pakoda With Rice White Chana With Rice Yellow Dal With Rice Aloo Gobi Mix Dal Baingan Ka Bhartha Kadi Pakoda Rajma White Chana Yellow Dal Ghar Ka Phulka Phulka With Desi Ghee Boiled Basmati Rice Boondi Raita Garden Green Salad
Pizza Vizza,"Budget Eats
                                    Cost for two: ₹400","Mayur Vihar Phase 1, Pandav Nagar, New Delhi.",4.2,142 visits,₹109 ₹149 ₹149 ₹169 ₹199 ₹209 ₹249 ₹299 ₹279 ₹389 ₹299 ₹399 ₹299 ₹249 ₹399 ₹599 ₹459 ₹199 ₹199 ₹199 ₹129 ₹119 ₹99 ₹119 ₹109 ₹99 ₹119 ₹79 ₹189 ₹199 ₹229 ₹99,Cheese Garlic Bread Simply Veg Pizza Spicy Indian Pizza Cheese And BBQ Pizza Double Cheese Pizza Paneer Makhani Pizza Chicken Tandoori Pizza Veggie Singles Combo Of 4 Regular Farmhouse + Cheese Garlic Bread + Pepsi [250 Ml] Medium Paneer Makhani + Cheese Garlic Bread + Molten Lava Cake Regular Veggie Pataka + Cheese Garlic Bread + Pepsi [250 Ml] Medium Veggie Pataka + Cheese Garlic Bread + Molten Lava Cake Veg Singles Combo Veg Combo 1 Veg Combo 2 Veg Combo 3 2 R.veg Pizza + Garlic Bread + Coke + Lava Cake Chicken Tikka Masala Pizza Mutton Keema Pizza Chicken Keema Pizza Chicken Garlic Bread Chicken Tikka Wrap Paneer Tikka Wrap Chicken Tikka Toasties Cheese Garlic Bread Paneer Tikka Toastie Garlic Bread Spicy Molten Lava Cake Danny's Signature Burger 2 Pc. Crispy Chicken 6 Pc. Hot & Crispy Chicken Wings Veggie Decker
Munch Nation,"Casual Dining
